chart_id,category,series,value,unit
CH06,F32 N36,FIRST P50,1586,ms
CH06,F32 N36,FIRST P95,2103,ms
CH06,F32 N36,E2E P50,1934,ms
CH06,F32 N36,E2E P95,2615,ms
CH06,F128 N36,FIRST P50,5563,ms
CH06,F128 N36,FIRST P95,7101,ms
CH06,F128 N36,E2E P50,5988,ms
CH06,F128 N36,E2E P95,7538,ms
CH06,F512 N36,FIRST P50,11295,ms
CH06,F512 N36,FIRST P95,33844,ms
CH06,F512 N36,E2E P50,12387,ms
CH06,F512 N36,E2E P95,34483,ms
CH06,F950 N36,FIRST P50,81759,ms
CH06,F950 N36,FIRST P95,90394,ms
CH06,F950 N36,E2E P50,82407,ms
CH06,F950 N36,E2E P95,91214,ms
CH06,P32 N36,FIRST P50,3246,ms
CH06,P32 N36,FIRST P95,4990,ms
CH06,P32 N36,E2E P50,3893,ms
CH06,P32 N36,E2E P95,5594,ms
CH06,P128 N36,FIRST P50,12038,ms
CH06,P128 N36,FIRST P95,20829,ms
CH06,P128 N36,E2E P50,12691,ms
CH06,P128 N36,E2E P95,21512,ms
CH06,P512 N36,FIRST P50,66688,ms
CH06,P512 N36,FIRST P95,123399,ms
CH06,P512 N36,E2E P50,67351,ms
CH06,P512 N36,E2E P95,124013,ms
CH06,P950 N36,FIRST P50,157805,ms
CH06,P950 N36,FIRST P95,185552,ms
CH06,P950 N36,E2E P50,158495,ms
CH06,P950 N36,E2E P95,186195,ms
