matched_pair_id,model_id,tier_id,position_id,repeat,coordinate_pair_matched,transport_complete_at_both_vantages,us_first_answer_ms,india_first_answer_ms,first_answer_delta_ms,us_end_to_end_ms,india_end_to_end_ms,end_to_end_delta_ms,us_cache_hit_tokens,india_cache_hit_tokens
718f323a4865d845,deepseek-v4-flash,32k,beginning,1,true,true,1590,1703,113,1870,2050,180,0,0
30f1ac37486d7a2d,deepseek-v4-flash,32k,beginning,2,true,true,1533,2138,605,1886,2457,571,0,0
7134768660e1bd34,deepseek-v4-flash,32k,beginning,3,true,true,1555,1775,220,1906,2164,258,0,0
d0dafba9fe899108,deepseek-v4-flash,32k,end,1,true,true,1033,1834,801,1376,2208,832,0,0
be13ff9bcf785765,deepseek-v4-flash,32k,end,2,true,true,2077,1521,-556,2350,1860,-490,0,0
8370fa0fc445fa4f,deepseek-v4-flash,32k,end,3,true,true,1150,2256,1106,1577,2577,1000,0,0
bfd0eaf6c5ccd387,deepseek-v4-flash,32k,middle,1,true,true,1123,1300,177,1516,1596,80,0,0
e5a7973f53e4d80f,deepseek-v4-flash,32k,middle,2,true,true,1649,1543,-106,1984,1866,-118,0,0
c7059ce730a246f3,deepseek-v4-flash,32k,middle,3,true,true,1726,2012,286,2123,2438,315,0,0
73f00345b61ac74b,deepseek-v4-flash,950k,beginning,1,true,true,83866,17583,-66283,84641,18298,-66343,0,0
0e76decd7f97adb2,deepseek-v4-flash,950k,beginning,2,true,true,82528,18421,-64107,83331,20017,-63314,0,0
3bc5363e2e0d3bdf,deepseek-v4-flash,950k,beginning,3,true,true,77502,80786,3284,78166,81574,3408,0,0
6dfe2166e28f3e20,deepseek-v4-flash,950k,end,1,true,true,81195,28449,-52746,82100,31320,-50780,0,0
3210ed9b3e51bbb8,deepseek-v4-flash,950k,end,2,true,true,84135,79168,-4967,84890,79950,-4940,0,0
791ca02f82d9337e,deepseek-v4-flash,950k,end,3,true,true,78443,83387,4944,79267,84144,4877,0,0
672e75d8d9949fc6,deepseek-v4-flash,950k,middle,1,true,true,83337,13308,-70029,84040,14132,-69908,0,0
5723f556d21b5b6d,deepseek-v4-flash,950k,middle,2,true,true,84623,79788,-4835,85403,80687,-4716,0,0
e17097121479a93f,deepseek-v4-flash,950k,middle,3,true,true,78701,75854,-2847,79464,76368,-3096,0,0
3c4efc59d9ee597c,deepseek-v4-pro,32k,beginning,1,true,true,4158,3211,-947,4917,3805,-1112,0,0
b9517a5d632ab416,deepseek-v4-pro,32k,beginning,2,true,true,3524,3001,-523,4115,3513,-602,0,0
1b69d60292d44e17,deepseek-v4-pro,32k,beginning,3,true,true,3056,3695,639,3562,4165,603,0,0
7c6e024ec043807e,deepseek-v4-pro,32k,end,1,true,true,3486,1221,-2265,4090,1740,-2350,0,0
0fbe51556b2354ce,deepseek-v4-pro,32k,end,2,true,true,3157,2570,-587,3657,3073,-584,0,0
84ee68c7c3d40b5f,deepseek-v4-pro,32k,end,3,true,true,3107,1482,-1625,3643,2114,-1529,0,0
a37f4f79e5519b43,deepseek-v4-pro,32k,middle,1,true,true,3108,1662,-1446,3892,2737,-1155,0,0
78ceaf2cf8b36e3f,deepseek-v4-pro,32k,middle,2,true,true,2805,3000,195,3332,3530,198,0,0
388d38ec60d3b3f0,deepseek-v4-pro,32k,middle,3,true,true,2919,2797,-122,3416,3346,-70,0,0
0dd468f7b5c9db52,deepseek-v4-pro,950k,beginning,1,true,true,164240,27606,-136634,164926,28027,-136899,0,0
427169ee662913c6,deepseek-v4-pro,950k,beginning,2,true,true,185396,161863,-23533,186067,162345,-23722,0,0
cbe183f689f6cf14,deepseek-v4-pro,950k,beginning,3,true,true,28142,144327,116185,28838,144749,115911,0,0
55cceb0568fd19dc,deepseek-v4-pro,950k,end,1,true,true,28533,150860,122327,29150,151330,122180,0,0
97802c4cfcc7d26e,deepseek-v4-pro,950k,end,2,true,true,29436,163124,133688,30112,164039,133927,0,0
94c81d29c0c0f6c1,deepseek-v4-pro,950k,end,3,true,true,152097,163085,10988,152733,163609,10876,0,0
46d0797f7397f62e,deepseek-v4-pro,950k,middle,1,true,true,27015,175376,148361,27651,176302,148651,0,0
eaf260255d90331f,deepseek-v4-pro,950k,middle,2,true,true,161711,28596,-133115,162295,29153,-133142,0,0
a187637ad870c864,deepseek-v4-pro,950k,middle,3,true,true,29896,25496,-4400,30434,26088,-4346,0,0
