protocol_id,protocol_version,analysis_role,include_in_primary_accuracy_denominators,region_vantage,case_id,public_case_uid,model_id,family_id,tier_id,position_id,repeat,started_at,finished_at,http_status,transport_complete,finish_reason,returned_model,system_fingerprint,time_to_first_sse_event_ms,time_to_first_reasoning_token_ms,time_to_first_answer_token_ms,time_to_end_ms,prompt_tokens,completion_tokens,total_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,reasoning_tokens,valid_json,exact_keys,exact_match,field_accuracy,matched_fields,total_fields,grader_errors,prompt_tier_calibration_passed,thinking_disabled_violation,sse_event_count,sse_parse_error_count,sse_done_received,stream_error_class,error_class,observed_provider_cost_usd_cache_miss_upper_bound,generator_bundle_sha256,base_fixture_sha256,execution_salt_sha256,salted_user_prompt_sha256,expected_sha256,request_sha256,raw_response_sha256
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:middle:r1:pilot:ap-south-1:e9a86153073a23cb,12c53859bcc318a72b201797,deepseek-v4-flash,event_ordering,32k,middle,1,2026-08-06T20:28:05.756797Z,2026-08-06T20:28:07.134485Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,407,,812,1378,32037,56,32093,0,32037,,True,True,True,1.0,3,3,,True,False,60,0,True,,,0.004501,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,8cae0f82ba41744433bdeeebbe941acf9d8494edd39f0f3a420ba2f29ab24f1b,e9a86153073a23cb1c05d5d7af93edc8d9f82dc16292ec1bb40ac28968ce8bd5,c316e36f176cb5783969819770f95129f23367b4f9029a7a8758f22da7657907,afb14a3f7f93e8f68730cf58bd98085d35b4d940ffa849ab26198d4540d909b7,fe9e28b3764ef0252ad7c02b742db3e66d6c148ae8924471601256c1ed2350e7,60e3497c1ea943fd60fde1ed06e4ffbe3aac3de51b44d8e38f19242a7c68a276
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:middle:r1:pilot:ap-south-1:6e6ad6de1611b1f8,1165d53d68de47b5c6478411,deepseek-v4-flash,latest_version,32k,middle,1,2026-08-06T20:24:42.384301Z,2026-08-06T20:24:44.633414Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,494,,1836,2249,32045,39,32084,0,32045,,True,True,True,1.0,7,7,,True,False,43,0,True,,,0.004498,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,6d0c537c33ca09a7203eda25deec65409277a99de9284fce15ff823351102ff3,6e6ad6de1611b1f8727e5c3f1f345d0e91c3000dd4b453b648b7046b0e7c57db,86822279d8d7b77f253a5672a6973b9d46c1ed68fa8f1ba544b08ee3d1c6f93f,4be3b483e98e03568eed1ad9a55ee97f078417e3642174828030452e9edfd6df,4be883cb5d660c662dbea00da1d7df294d422d324f62828c508c598709f467ff,18fe25e3f1394833b80568b3b79861368b88a437fc16c101321c6f6e3149bf15
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:middle:r1:pilot:ap-south-1:892069766f9c93f4,49f6fe5b70968948be553bff,deepseek-v4-flash,multi_hop_join,32k,middle,1,2026-08-06T20:24:40.824932Z,2026-08-06T20:24:42.041040Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,437,,871,1216,32052,44,32096,0,32052,,True,True,False,0.2857142857142857,2,7,wrong_value:alpha|wrong_value:beta|wrong_value:gamma|wrong_value:quantity|wrong_value:checksum,True,False,48,0,True,,,0.004500,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,cda2005fcab9624e2cdae3f925908847d3fadef0756f942386c505482f071a3a,892069766f9c93f45936eb0f6b2bd470c2e9ac5dae14b9f82fdc3adccc494419,470a366a843790a49729ba28bddac8fa36e4e58f8d8b41af638aecb7731f8e4e,9c254467419a89d5bfccdbef3ce740b3cc9c0966d90dad4c7e7a39a1af7d5919,ea9f9c4674b934e3a7ff98ebb812bdc02b548936f7072e3064cd571e6c650d2e,a8f22f21495f05c98c397519fd6d35233a7e48daae9ad032f3860a416031b96b
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r1:pilot:ap-south-1:6761fc410508b0b4,91b99e4a4cf7cc8505e5eb03,deepseek-v4-flash,single_record,32k,middle,1,2026-08-06T20:27:38.526226Z,2026-08-06T20:27:40.260864Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,536,,1453,1735,32059,36,32095,0,32059,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,c9affe28fbf2395bb029151b19e3cb6d1124e7e592fec0f25848188b585b4bf8,6761fc410508b0b4f16d1714df9ecbe9fdad1451695b3b4dcc194e10e381de78,c264ab3e6741bb1319ca66c052d4cbb69fe370dd51b95e7fbc2c26682541cfa9,6474a4b9bdfebcb9419b15511f94766c27e5b5ab291e3e522102fe0fd73bf6bf,8f63965d8111041d8d7d4558c3f218e40174ae2b29829080c90def2896a4dc80,55bcee89dab91acba67e9e8d55ca422cdb3e22455e0aef568ff5f42873356399
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r1:pilot:ap-south-1:e3c669a2f8bc4070,2fb03b92be2105cb0e7bc4e9,deepseek-v4-flash,single_record,950k,middle,1,2026-08-06T20:27:43.249451Z,2026-08-06T20:28:01.635632Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,2916,,17648,18386,950060,36,950096,0,950060,,True,True,False,0.16666666666666666,1,6,wrong_value:alpha|wrong_value:beta|wrong_value:gamma|wrong_value:quantity|wrong_value:checksum,True,False,40,0,True,,,0.133019,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,e5a03a52adc56a9fae8a1a761980dc23bf7e829676ff94986e0e489f40182493,e3c669a2f8bc407026a2cf2fe522c3f5114c3b0e9f47e30f1967eda6b1e66c48,558628834e0ead87aba2090c5551fda6057c539612b0225e2eb3e88acd5b8e95,81960807b7a631311f15bab60f93affbea1ff4c949c80fbba034cc9a64f1ece2,309a1c795637001ec384facbbbd3be59f2ad50cbfc3863b054e0b625ff54aef8,d55d0459205707d720d19dac8ba5b48c179bbc2d5d499d8bc8ecc7def7aca194
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:middle:r1:pilot:ap-south-1:e9a86153073a23cb,9bfa1aa0a5394b1fbd143f74,deepseek-v4-pro,event_ordering,32k,middle,1,2026-08-06T20:24:49.060726Z,2026-08-06T20:24:52.543053Z,200,True,stop,deepseek-v4-pro,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,426,,2743,3482,32037,68,32105,0,32037,,True,True,True,1.0,3,3,,True,False,72,0,True,,,0.013996,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,8cae0f82ba41744433bdeeebbe941acf9d8494edd39f0f3a420ba2f29ab24f1b,e9a86153073a23cb1c05d5d7af93edc8d9f82dc16292ec1bb40ac28968ce8bd5,c316e36f176cb5783969819770f95129f23367b4f9029a7a8758f22da7657907,afb14a3f7f93e8f68730cf58bd98085d35b4d940ffa849ab26198d4540d909b7,43a695a1a224dc03eded571412c07841cf218167cbb6273a9c21f6c24bfbf388,615bca2a056306521c48e4d0bee72643d2e046315adfdf7c154402e9255721d2
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:middle:r1:pilot:ap-south-1:6e6ad6de1611b1f8,a8498f0ed98fd871dfd22976,deepseek-v4-pro,latest_version,32k,middle,1,2026-08-06T20:28:02.043175Z,2026-08-06T20:28:05.428895Z,200,True,stop,deepseek-v4-pro,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,522,,2878,3386,32045,61,32106,0,32045,,True,True,True,1.0,7,7,,True,False,65,0,True,,,0.013993,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,6d0c537c33ca09a7203eda25deec65409277a99de9284fce15ff823351102ff3,6e6ad6de1611b1f8727e5c3f1f345d0e91c3000dd4b453b648b7046b0e7c57db,86822279d8d7b77f253a5672a6973b9d46c1ed68fa8f1ba544b08ee3d1c6f93f,4be3b483e98e03568eed1ad9a55ee97f078417e3642174828030452e9edfd6df,48e323185cd519067da8a53ac222471dfaf62d96f845aabcf5b74ccb077ded02,3bdbf2ebb74c5bb807b8844d27d160fde467bd3ee32462770a8dd24750c52d60
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:middle:r1:pilot:ap-south-1:892069766f9c93f4,50973b91a5c521b3d7d8a153,deepseek-v4-pro,multi_hop_join,32k,middle,1,2026-08-06T20:24:44.985950Z,2026-08-06T20:24:48.733878Z,200,True,stop,deepseek-v4-pro,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,444,,3187,3748,32052,66,32118,0,32052,,True,True,False,0.2857142857142857,2,7,wrong_value:alpha|wrong_value:beta|wrong_value:gamma|wrong_type:quantity|wrong_value:checksum,True,False,70,0,True,,,0.014001,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,cda2005fcab9624e2cdae3f925908847d3fadef0756f942386c505482f071a3a,892069766f9c93f45936eb0f6b2bd470c2e9ac5dae14b9f82fdc3adccc494419,470a366a843790a49729ba28bddac8fa36e4e58f8d8b41af638aecb7731f8e4e,9c254467419a89d5bfccdbef3ce740b3cc9c0966d90dad4c7e7a39a1af7d5919,37dfd6b3b91979679b4922a58461a211744052104f0e4507c57f45695cf44687,91d979f130fea8c2595b275d4e88f2552ba93aca8916cb790760104d803d95ff
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:middle:r1:pilot:ap-south-1:6761fc410508b0b4,3f4619d9a9f42350a7e1bfe1,deepseek-v4-pro,single_record,32k,middle,1,2026-08-06T20:27:40.607766Z,2026-08-06T20:27:42.490862Z,200,True,stop,deepseek-v4-pro,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,479,,966,1883,32059,47,32106,0,32059,,True,True,True,1.0,6,6,,True,False,51,0,True,,,0.013987,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,c9affe28fbf2395bb029151b19e3cb6d1124e7e592fec0f25848188b585b4bf8,6761fc410508b0b4f16d1714df9ecbe9fdad1451695b3b4dcc194e10e381de78,c264ab3e6741bb1319ca66c052d4cbb69fe370dd51b95e7fbc2c26682541cfa9,6474a4b9bdfebcb9419b15511f94766c27e5b5ab291e3e522102fe0fd73bf6bf,73ab558770bc91e8a5885576aedb4b62bdaa710c9c3a0c0bb6173224ef39287e,3fe7bc22b940ff563939dc86e0bc5b411455da077289dfe7cdb3546a928ffd1a
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,pilot_excluded,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r1:pilot:ap-south-1:e3c669a2f8bc4070,bb0294aa2bd9f70d451b20be,deepseek-v4-pro,single_record,950k,middle,1,2026-08-06T20:24:53.275698Z,2026-08-06T20:27:38.111867Z,200,True,stop,deepseek-v4-pro,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,3485,,164330,164836,950060,54,950114,0,950060,,True,True,False,0.16666666666666666,1,6,wrong_value:alpha|wrong_value:beta|wrong_value:gamma|wrong_type:quantity|wrong_value:checksum,True,False,58,0,True,,,0.413324,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,e5a03a52adc56a9fae8a1a761980dc23bf7e829676ff94986e0e489f40182493,e3c669a2f8bc407026a2cf2fe522c3f5114c3b0e9f47e30f1967eda6b1e66c48,558628834e0ead87aba2090c5551fda6057c539612b0225e2eb3e88acd5b8e95,81960807b7a631311f15bab60f93affbea1ff4c949c80fbba034cc9a64f1ece2,00250a351424ab363040febb868640abdf80158d5536c05ea51b7c3eb4d31d80,80627ddc20888abf990bdf16dd64f35107ad56529f2da35bbe4da6e4318a6bb4
